科目,Account Number,Account (Line): Name,Type,Subsidiary,Date,Document Number,Transaction Number,Vendor Name,JE Name,Split,Memo,Description,Department,Class: Name,Cost Items,Nature,Amount,Type.1,Irregular?,Entity Level Dept,Month (YYMM),BU Level Dept,Unnamed: 23
IT費用,41500.0,E-Commerce Usage Fees,Journal,AnyMind Japan Inc,2025-08-25,JEAJP0022379,JOURNAL231257,CUS0008628 D2C_Amazon,CUS0008628 D2C_Amazon,- Split -,Amazon入金(mizuho)_waterpik_0825,Amazon_waterpik_支出,D2C Anylogi,waterpik,IT expenses,,708696.0,Local,,D2C,2025-08-01,BC,
IT費用,41500.0,E-Commerce Usage Fees,Journal,AnyMind Japan Inc,2025-08-28,JEAJP0022391,JOURNAL231331,CUS0008627 D2C_Qoo10,CUS0008627 D2C_Qoo10,- Split -,ebay入金_Qoo10_forencos_0828,Qoo10_forencos_決済手数料,D2C Anylogi,forencos,IT expenses,,183819.0,Local,,D2C,2025-08-01,BC,
IT費用,41500.0,E-Commerce Usage Fees,Journal,AnyMind Japan Inc,2025-08-28,JEAJP0022390,JOURNAL231330,CUS0008627 D2C_Qoo10,CUS0008627 D2C_Qoo10,- Split -,ebay入金_Qoo10_ADVANCED CLINICALS_0828,Qoo10_ADVANCED CLINICALS_決済手数料,D2C Anylogi,Advanced Clinicals,IT expenses,,983251.0,Local,,D2C,2025-08-01,BC,
IT費用,41500.0,E-Commerce Usage Fees,Journal,AnyMind Japan Inc,2025-08-29,JEAJP0022554,JOURNAL232935,CUS0008629 D2C_Rakuten,CUS0008629 D2C_Rakuten,- Split -,Rakuten_payout_0829,Anys Store_後払い決済手数料控除,D2C Anylogi,Advanced Clinicals,IT expenses,,1364.0,Local,,D2C,2025-08-01,BC,
IT費用,41500.0,E-Commerce Usage Fees,Journal,AnyMind Japan Inc,2025-08-29,JEAJP0022440,JOURNAL231444,CUS0008628 D2C_Amazon,CUS0008628 D2C_Amazon,- Split -,Amazon入金(mizuho)_Forecos_0829,Amazon入金(mizuho)_Forecos_支出,D2C Anylogi,forencos,IT expenses,,236924.0,Local,,D2C,2025-08-01,BC,
IT費用,41500.0,E-Commerce Usage Fees,Journal,AnyMind Japan Inc,2025-08-29,JEAJP0022554,JOURNAL232935,CUS0008629 D2C_Rakuten,CUS0008629 D2C_Rakuten,- Split -,Rakuten_payout_0829,Anys Store_システム利用料_広告掲載料,D2C Anylogi,Advanced Clinicals,IT expenses,,174087.0,Local,,D2C,2025-08-01,BC,
IT費用,41500.0,E-Commerce Usage Fees,Journal,AnyMind Japan Inc,2025-08-29,JEAJP0022441,JOURNAL231445,CUS0005406 D2C_shopify,CUS0005406 D2C_shopify,- Split -,shopify入金_forencos_8/29,shopify入金_forencos_決済手数料,D2C Anylogi,forencos,IT expenses,,125.0,Local,,D2C,2025-08-01,BC,
IT費用,41500.0,E-Commerce Usage Fees,Journal,AnyMind Japan Inc,2025-08-29,JEAJP0022442,JOURNAL231446,CUS0005406 D2C_shopify,CUS0005406 D2C_shopify,- Split -,shopify入金_ADVANCED CLINICALS_8/29,shopify入金_ADVANCED CLINICALS_決済手数料,D2C Anylogi,Advanced Clinicals,IT expenses,,958.0,Local,,D2C,2025-08-01,BC,
IT費用,41500.0,E-Commerce Usage Fees,Journal,AnyMind Japan Inc,2025-08-29,JEAJP0022554,JOURNAL232935,CUS0008629 D2C_Rakuten,CUS0008629 D2C_Rakuten,- Split -,Rakuten_payout_0829,forencos_システム利用料_広告掲載料,D2C Anylogi,forencos,IT expenses,,40165.0,Local,,D2C,2025-08-01,BC,
IT費用,41500.0,E-Commerce Usage Fees,Journal,AnyMind Japan Inc,2025-08-29,JEAJP0022554,JOURNAL232935,CUS0008629 D2C_Rakuten,CUS0008629 D2C_Rakuten,- Split -,Rakuten_payout_0829,waterpik_ポイント付与料,D2C Anylogi,waterpik,IT expenses,,10242.0,Local,,D2C,2025-08-01,BC,
IT費用,41500.0,E-Commerce Usage Fees,Journal,AnyMind Japan Inc,2025-08-29,JEAJP0022554,JOURNAL232935,CUS0008629 D2C_Rakuten,CUS0008629 D2C_Rakuten,- Split -,Rakuten_payout_0829,forencos_ポイント付与料,D2C Anylogi,forencos,IT expenses,,2474.0,Local,,D2C,2025-08-01,BC,
IT費用,41500.0,E-Commerce Usage Fees,Journal,AnyMind Japan Inc,2025-08-29,JEAJP0022554,JOURNAL232935,CUS0008629 D2C_Rakuten,CUS0008629 D2C_Rakuten,- Split -,Rakuten_payout_0829,waterpik_システム利用料_広告掲載料_後払い手数料,D2C Anylogi,waterpik,IT expenses,,592562.0,Local,,D2C,2025-08-01,BC,
IT費用,41500.0,E-Commerce Usage Fees,Journal,AnyMind Japan Inc,2025-08-29,JEAJP0022554,JOURNAL232935,CUS0008629 D2C_Rakuten,CUS0008629 D2C_Rakuten,- Split -,Rakuten_payout_0829,Anys Store_ポイント付与料,D2C Anylogi,Advanced Clinicals,IT expenses,,4090.0,Local,,D2C,2025-08-01,BC,
IT費用,41500.0,E-Commerce Usage Fees,Bill,AnyMind Japan Inc,2025-08-30,UPSIDER_D2C_202508,VENDBILL399805,VEN0029438 株式会社UPSIDER,,80011 - Accounts Payable : Non-trade Creditors,UPSIDER_D2C_202508,,D2C Solutions,waterpik,IT expenses,,120.0,Local,,D2C,2025-08-01,BC,
業務委託費,42610.0,Other Outsourced Services - recurring service,Bill,AnyMind Japan Inc,2025-08-01,AnyLogi-202507-1,VENDBILL389766,VEN0066330 花音芦原,,80011 - Accounts Payable : Non-trade Creditors,,SCMの在庫管理,D2C Anylogi,AnyLogi,Other outsourced services,Outsourced - Short term,43650.0,Local,,D2C,2025-08-01,BC,
業務委託費,42610.0,Other Outsourced Services - recurring service,Bill Credit,AnyMind Japan Inc,2025-08-12,AnyLogi-202506,VENDCRED37916,VEN0046166 悦慧王,,80010 - Accounts Payable : Trade Creditors,2025年6月分CS業務_重複（VENDBILL376016）,CS業務,D2C Anylogi,Crossborder,Other outsourced services,Outsourced - Long term,-227273.0,Local,,D2C,2025-08-01,BC,
業務委託費,42610.0,Other Outsourced Services - recurring service,Bill Credit,AnyMind Japan Inc,2025-08-13,AnyLogi-202507,VENDCRED37930,VEN0066330 花音芦原,,80011 - Accounts Payable : Non-trade Creditors,消費税による登録間違い,交通費（7日分×450円）,D2C Anylogi,AnyLogi,Other outsourced services,Outsourced - Short term,-3150.0,Local,,D2C,2025-08-01,BC,
業務委託費,42610.0,Other Outsourced Services - recurring service,Bill Credit,AnyMind Japan Inc,2025-08-13,AnyLogi-202507,VENDCRED37930,VEN0066330 花音芦原,,80011 - Accounts Payable : Non-trade Creditors,消費税による登録間違い,SCMの在庫管理（22.5H×1800円）,D2C Anylogi,AnyLogi,Other outsourced services,Outsourced - Short term,-40500.0,Local,,D2C,2025-08-01,BC,
業務委託費,42610.0,Other Outsourced Services - recurring service,Bill,AnyMind Japan Inc,2025-08-19,AnyLogi-202508,VENDBILL390826,VEN0059469 YUFEI WANG,,80011 - Accounts Payable : Non-trade Creditors,BASE FOOD カスタマーサービス費用 (7月分）7日分×29.1H,BASE FOOD カスタマーサービス費用 (7月分）4日分 （16.8H）,D2C Anylogi,Crossborder,Other outsourced services,Outsourced - Long term,19538.0,Regional,,D2C,2025-08-01,BC,
業務委託費,42610.0,Other Outsourced Services - recurring service,Bill,AnyMind Japan Inc,2025-08-19,AnyLogi-202508,VENDBILL390824,VEN0059470 XUE YU,,80011 - Accounts Payable : Non-trade Creditors,BASE FOOD カスタマーサービス費用 (7月分）10日分（43.4H）,BASE FOOD カスタマーサービス費用 (7月分）10日分（43.4H）,D2C Anylogi,Crossborder,Other outsourced services,Outsourced - Long term,50474.0,Regional,,D2C,2025-08-01,BC,
業務委託費,42610.0,Other Outsourced Services - recurring service,Bill,AnyMind Japan Inc,2025-08-31,AnyLogi-202508,VENDBILL398945,VEN0046166 悦慧王,,80010 - Accounts Payable : Trade Creditors,2025年8月分CS業務,CS業務,D2C Anylogi,Crossborder,Other outsourced services,Outsourced - Long term,227273.0,Local,,D2C,2025-08-01,BC,
業務委託費,42610.0,Other Outsourced Services - recurring service,Bill,AnyMind Japan Inc,2025-08-31,AnyLogi-202508,VENDBILL398959,VEN0066704 悠友奥田,,80011 - Accounts Payable : Non-trade Creditors,,AnyLogi,D2C Anylogi,AnyLogi,Other outsourced services,,136364.0,Local,,D2C,2025-08-01,BC,
業務委託費,42610.0,Other Outsourced Services - recurring service,Bill,AnyMind Japan Inc,2025-08-31,AnyLogi-202508,VENDBILL398476,VEN0049970 大輔天川,,80011 - Accounts Payable : Non-trade Creditors,化粧品製販コンサル費用 8月分,化粧品製販コンサル費用,D2C Anylogi,BC,Other outsourced services,Outsourced - Long term,50000.0,Local,,D2C,2025-08-01,BC,
業務委託費,42610.0,Other Outsourced Services - recurring service,Bill,AnyMind Japan Inc,2025-08-31,AnyLogi-202508,VENDBILL398957,VEN0066330 花音芦原,,80011 - Accounts Payable : Non-trade Creditors,,SCMの在庫管理（40.15H×1800円）／交通費（13日分×450円）,D2C Anylogi,AnyLogi,Other outsourced services,Outsourced - Short term,72439.0,Local,,D2C,2025-08-01,BC,
業務委託費,42620.0,Other Outsourced Services - non-recurring service,Bill,AnyMind Japan Inc,2025-08-19,AnyLogi-202508,VENDBILL390827,VEN0058711 茂毛,,80010 - Accounts Payable : Trade Creditors,Crossborder 外注デザイナー費,Crossborder 外注デザイナー費 (7月分）,D2C Anylogi,Crossborder,Other outsourced services,,1029.0,Regional,,D2C,2025-08-01,BC,
一般管理費,48010.0,General Expenses,Bill,AnyMind Japan Inc,2025-08-31,AJP_ExpenseClaim_202508,VENDBILL393667,VEN0000649 Expense Claims for AJP,,80011 - Accounts Payable : Non-trade Creditors,立替経費_202508,ビザ申請,D2C Solutions,AnyLogi,General expenses,,42350.0,Local,,D2C,2025-08-01,BC,
一般管理費,48060.0,Employee Welfare,Bill,AnyMind Japan Inc,2025-08-30,UPSIDER_D2C_202508,VENDBILL399805,VEN0029438 株式会社UPSIDER,,80011 - Accounts Payable : Non-trade Creditors,UPSIDER_D2C_202508,,D2C Solutions,AnyLogi,General expenses,,15727.0,Local,,D2C,2025-08-01,BC,
一般管理費,48060.0,Employee Welfare,Bill,AnyMind Japan Inc,2025-08-30,UPSIDER_D2C_202508,VENDBILL399805,VEN0029438 株式会社UPSIDER,,80011 - Accounts Payable : Non-trade Creditors,UPSIDER_D2C_202508,,Brand Commerce & Marketing,BC,General expenses,,169714.0,Local,,D2C,2025-08-01,BC,
一般管理費,48060.0,Employee Welfare,Bill,AnyMind Japan Inc,2025-08-31,AJP_ExpenseClaim_202508,VENDBILL393667,VEN0000649 Expense Claims for AJP,,80011 - Accounts Payable : Non-trade Creditors,立替経費_202508,社内会食20250729,D2C Solutions,BC,General expenses,,9409.0,Local,,D2C,2025-08-01,BC,
一般管理費,48060.0,Employee Welfare,Bill,AnyMind Japan Inc,2025-08-31,AJP_ExpenseClaim_202508,VENDBILL393667,VEN0000649 Expense Claims for AJP,,80011 - Accounts Payable : Non-trade Creditors,立替経費_202508,社内会食,D2C Solutions,BC,General expenses,,7727.0,Local,,D2C,2025-08-01,BC,
一般管理費,48100.0,Office Expenses,Bill,AnyMind Japan Inc,2025-08-30,UPSIDER_D2C_202508,VENDBILL399805,VEN0029438 株式会社UPSIDER,,80011 - Accounts Payable : Non-trade Creditors,UPSIDER_D2C_202508,,D2C Solutions,AnyLogi,General expenses,,717.0,Local,,D2C,2025-08-01,BC,
一般管理費,48160.0,"Postage, Freight and Courier",Bill,AnyMind Japan Inc,2025-08-31,AnyLogi-202508,VENDBILL398472,VEN0055059 株式会社スタジオウェル,,80010 - Accounts Payable : Trade Creditors,AVC アテンションシール,AVC アテンションシール,D2C Anylogi,Advanced Clinicals,General expenses,,157200.0,Local,,D2C,2025-08-01,BC,
一般管理費,48160.0,"Postage, Freight and Courier",Bill,AnyMind Japan Inc,2025-08-31,AnyLogi-202507-AVC,VENDBILL398963,VEN0037994 SWF GROUP LTD,,80011 - Accounts Payable : Non-trade Creditors,SWF在庫保管費用（INV-000002111）※適用月７月。,WTP,D2C Solutions,waterpik,General expenses,,452000.0,Local,,D2C,2025-08-01,BC,
一般管理費,48160.0,"Postage, Freight and Courier",Bill,AnyMind Japan Inc,2025-08-31,AnyLogi-202508-外販,VENDBILL398417,VEN0025137 ケイヒン配送株式会社,,80010 - Accounts Payable : Trade Creditors,8月プロダクトクライアント利用分,8月プロダクトクライアント利用分,D2C Anylogi,AnyLogi,General expenses,,1479070.0,Local,,D2C,2025-08-01,BC,
一般管理費,48160.0,"Postage, Freight and Courier",Bill,AnyMind Japan Inc,2025-08-31,AnyLogi-202508-PALTAC東京支店,VENDBILL398482,VEN0068185 株式会社PALTAC東京支店（第一営業部）,,80010 - Accounts Payable : Trade Creditors,,PALTAC東京支店 販促金,D2C Anylogi,Advanced Clinicals,General expenses,,21476.0,Local,,D2C,2025-08-01,BC,
一般管理費,48160.0,"Postage, Freight and Courier",Bill,AnyMind Japan Inc,2025-08-31,AnyLogi-202508-PALTAC横浜支社,VENDBILL398484,VEN0068184 株式会社PALTAC横浜支社,,80010 - Accounts Payable : Trade Creditors,,PALTAC横浜支社 販促金,D2C Anylogi,Advanced Clinicals,General expenses,,7670.0,Local,,D2C,2025-08-01,BC,
一般管理費,48160.0,"Postage, Freight and Courier",Bill,AnyMind Japan Inc,2025-08-31,AJP_ExpenseClaim_202508,VENDBILL393667,VEN0000649 Expense Claims for AJP,,80011 - Accounts Payable : Non-trade Creditors,立替経費_202508,BCMバイク便立替,D2C Solutions,AnyLogi,General expenses,,26387.0,Local,,D2C,2025-08-01,BC,
一般管理費,48160.0,"Postage, Freight and Courier",Bill,AnyMind Japan Inc,2025-08-31,AnyLogi-202508-PALTAC東京支社（第二営業部）,VENDBILL398483,VEN0068183 株式会社PALTAC東京支社（第二営業部）,,80010 - Accounts Payable : Trade Creditors,PALTAC東京支社（第二営業部）販促金,PALTAC東京支社（第二営業部）販促金,D2C Anylogi,Advanced Clinicals,General expenses,,1770.0,Local,,D2C,2025-08-01,BC,
一般管理費,48160.0,"Postage, Freight and Courier",Bill,AnyMind Japan Inc,2025-08-31,AnyLogi-202508-2,VENDBILL398504,"INTVEN0396 Engawa Co., Ltd.",,80050 - Accounts Payable : Intercompany Accounts Payable : Creditors,LIVE配信委託費用,LIVE配信委託費用,D2C Anylogi,forencos,General expenses,,100000.0,Local,,D2C,2025-08-01,BC,
一般管理費,48160.0,"Postage, Freight and Courier",Bill,AnyMind Japan Inc,2025-08-31,AnyLogi-202508,VENDBILL398459,"VEN0051118 QH DISTRIBUTION, INC.",,80011 - Accounts Payable : Non-trade Creditors,Amazon Payout Report 許可費用 6/16-8/7（inv# 19596）inv# 19589と同様、6/16-8/7期間中の費用になります。,Amazon Payout Report 許可費用 6/16-8/7（inv# 19596）,D2C Anylogi,Advanced Clinicals,General expenses,,186473.0,Local,,D2C,2025-08-01,BC,
一般管理費,48160.0,"Postage, Freight and Courier",Bill,AnyMind Japan Inc,2025-08-31,AnyLogi-202508-PALTAC中四国支社（四国）,VENDBILL398488,VEN0068186 株式会社PALTAC中四国支社（四国）,,80010 - Accounts Payable : Trade Creditors,,PALTAC中四国支社（四国）販促金,D2C Anylogi,Advanced Clinicals,General expenses,,590.0,Local,,D2C,2025-08-01,BC,
一般管理費,48160.0,"Postage, Freight and Courier",Bill,AnyMind Japan Inc,2025-08-31,AnyLogi-202508-PALTAC中部支社,VENDBILL398486,VEN0068187 株式会社PALTAC中部支社,,80010 - Accounts Payable : Trade Creditors,,PALTAC中部支社 販促金,D2C Anylogi,Advanced Clinicals,General expenses,,8850.0,Local,,D2C,2025-08-01,BC,
一般管理費,48160.0,"Postage, Freight and Courier",Bill,AnyMind Japan Inc,2025-08-31,AnyLogi-202508-2,VENDBILL398504,"INTVEN0396 Engawa Co., Ltd.",,80050 - Accounts Payable : Intercompany Accounts Payable : Creditors,LIVE配信委託費用,LIVE配信委託費用,D2C Anylogi,BC,General expenses,,100000.0,Local,,D2C,2025-08-01,BC,
一般管理費,48160.0,"Postage, Freight and Courier",Bill,AnyMind Japan Inc,2025-08-31,AnyLogi-202508,VENDBILL398455,VEN0067724 株式会社アイスタイル,,80011 - Accounts Payable : Non-trade Creditors,,＠コスメ アフィリエイトサービス 初期設定料,D2C Anylogi,Advanced Clinicals,General expenses,,150000.0,Local,,D2C,2025-08-01,BC,
一般管理費,48160.0,"Postage, Freight and Courier",Bill,AnyMind Japan Inc,2025-08-31,AnyLogi-202508,VENDBILL398432,VEN0007433 ヤマト運輸株式会社,,80011 - Accounts Payable : Non-trade Creditors,8月自社ブランド + プロダクトクライアント利用分,SGA,D2C Anylogi,Crossborder,General expenses,,2200.0,Local,,D2C,2025-08-01,BC,
一般管理費,48160.0,"Postage, Freight and Courier",Bill,AnyMind Japan Inc,2025-08-31,AnyLogi-2020508,VENDBILL398435,VEN0017033 佐川急便株式会社,,80011 - Accounts Payable : Non-trade Creditors,,,D2C Anylogi,AnyLogi,General expenses,,27890.0,Local,,D2C,2025-08-01,BC,
一般管理費,48160.0,"Postage, Freight and Courier",Bill,AnyMind Japan Inc,2025-08-31,AnyLogi-202508-AVC⑫,VENDBILL398501,VEN0037994 SWF GROUP LTD,,80011 - Accounts Payable : Non-trade Creditors,"SWF在庫保管費用（INV-000002169）／AVCJP 624,000 JPY; Waterpik 280,000 JPY。",SWF在庫保管費用（INV-000002169）,D2C Anylogi,Advanced Clinicals,General expenses,,624000.0,Local,,D2C,2025-08-01,BC,
一般管理費,48160.0,"Postage, Freight and Courier",Bill,AnyMind Japan Inc,2025-08-31,AnyLogi-202508-PALTAC中四国支社,VENDBILL398487,VEN0068188 株式会社PALTAC中四国支社（中国）,,80010 - Accounts Payable : Trade Creditors,,PALTAC中四国支社（中国） 販促金,D2C Anylogi,Advanced Clinicals,General expenses,,2360.0,Local,,D2C,2025-08-01,BC,
一般管理費,48160.0,"Postage, Freight and Courier",Bill,AnyMind Japan Inc,2025-08-31,AnyLogi-202508-AVC⑫,VENDBILL398501,VEN0037994 SWF GROUP LTD,,80011 - Accounts Payable : Non-trade Creditors,"SWF在庫保管費用（INV-000002169）／AVCJP 624,000 JPY; Waterpik 280,000 JPY。",SWF在庫保管費用（INV-000002169）,D2C Anylogi,waterpik,General expenses,,280000.0,Local,,D2C,2025-08-01,BC,
一般管理費,48160.0,"Postage, Freight and Courier",Bill,AnyMind Japan Inc,2025-08-31,AnyLogi-202507-AVC,VENDBILL398963,VEN0037994 SWF GROUP LTD,,80011 - Accounts Payable : Non-trade Creditors,SWF在庫保管費用（INV-000002111）※適用月７月。,AVC,D2C Solutions,Advanced Clinicals,General expenses,,308000.0,Local,,D2C,2025-08-01,BC,
一般管理費,48180.0,Bank Fees,Journal,AnyMind Japan Inc,2025-08-20,JEAJP0022365,JOURNAL231145,CUS0005406 D2C_shopify,CUS0005406 D2C_shopify,- Split -,paidy payout_2025年7月分(8月入金)_waterpik,paidy_waterpik_振込手数料,D2C Anylogi,waterpik,General expenses,,500.0,Local,,D2C,2025-08-01,BC,
一般管理費,48180.0,Bank Fees,Journal,AnyMind Japan Inc,2025-08-28,JEAJP0022391,JOURNAL231331,CUS0008627 D2C_Qoo10,CUS0008627 D2C_Qoo10,- Split -,ebay入金_Qoo10_forencos_0828,Qoo10_forencos_振込手数料,D2C Anylogi,forencos,General expenses,,136.0,Local,,D2C,2025-08-01,BC,
一般管理費,48180.0,Bank Fees,Journal,AnyMind Japan Inc,2025-08-28,JEAJP0022390,JOURNAL231330,CUS0008627 D2C_Qoo10,CUS0008627 D2C_Qoo10,- Split -,ebay入金_Qoo10_ADVANCED CLINICALS_0828,Qoo10_ADVANCED CLINICALS_振込手数料,D2C Anylogi,Advanced Clinicals,General expenses,,136.0,Local,,D2C,2025-08-01,BC,
広告宣伝費,41020.0,Advertising and Marketing Events,Bill,AnyMind Japan Inc,2025-09-01,Google250901_5378632304,VENDBILL407555,VEN0026369 Google Japan G.K.,,80011 - Accounts Payable : Non-trade Creditors,Google250901,[JP] BCM_Waterpik,D2C Anylogi,waterpik,Advertising and marketing events,,23412.0,Local,,D2C,2025-09-01,BC,
広告宣伝費,41020.0,Advertising and Marketing Events,Journal,AnyMind Japan Inc,2025-09-01,JEAJP0022580,JOURNAL233055,,,"80040 - Accounts Payable : Trade Accruals, Provisions and Other Manual Adjustments",BCブランド広告費の見積計上_2508,BCブランド広告費の見積計上_2508,D2C Anylogi,Advanced Clinicals,Advertising and marketing events,,-1689961.0,Local,,D2C,2025-09-01,BC,
広告宣伝費,41020.0,Advertising and Marketing Events,Bill,AnyMind Japan Inc,2025-09-30,AnyLogi-202509ｰ株式会社PALTAC,VENDBILL411031,VEN0068042 株式会社PALTAC,,80010 - Accounts Payable : Trade Creditors,,"ローソン写真代：￥1,400（税抜） 10％ 商品撮影代 １品 ￥700",D2C Anylogi,AnyLogi：Hale,Advertising and marketing events,,1400.0,Local,,D2C,2025-09-01,BC,
広告宣伝費,41020.0,Advertising and Marketing Events,Bill,AnyMind Japan Inc,2025-09-30,UPSIDER_D2C_202509,VENDBILL409797,VEN0029438 株式会社UPSIDER,,80011 - Accounts Payable : Non-trade Creditors,UPSIDER_D2C_202509,,D2C Solutions,forencos,Advertising and marketing events,,118573.0,Local,,D2C,2025-09-01,BC,
広告宣伝費,41020.0,Advertising and Marketing Events,Bill,AnyMind Japan Inc,2025-09-30,AnyLogi-202509ｰ株式会社ダイニチ・コーポレーション,VENDBILL411032,VEN0022731 株式会社ダイニチ・コーポレーション,,80010 - Accounts Payable : Trade Creditors,2025年9月_EC広告費,2025年9月EC広告費,Brand Commerce & Marketing,BC_AM,Advertising and marketing events,,8251276.0,Local,,D2C,2025-09-01,BC,
広告宣伝費,41020.0,Advertising and Marketing Events,Bill,AnyMind Japan Inc,2025-09-30,UPSIDER_D2C_202509,VENDBILL409797,VEN0029438 株式会社UPSIDER,,80011 - Accounts Payable : Non-trade Creditors,UPSIDER_D2C_202509,,D2C Solutions,CNP,Advertising and marketing events,,207382.0,Local,,D2C,2025-09-01,BC,
広告宣伝費,41020.0,Advertising and Marketing Events,Bill,AnyMind Japan Inc,2025-09-30,UPSIDER_D2C_202509,VENDBILL409797,VEN0029438 株式会社UPSIDER,,80011 - Accounts Payable : Non-trade Creditors,UPSIDER_D2C_202509,,D2C Solutions,Advanced Clinicals,Advertising and marketing events,,712285.0,Local,,D2C,2025-09-01,BC,
広告宣伝費,41020.0,Advertising and Marketing Events,Bill,AnyMind Japan Inc,2025-09-30,UPSIDER_D2C_202509,VENDBILL409797,VEN0029438 株式会社UPSIDER,,80011 - Accounts Payable : Non-trade Creditors,UPSIDER_D2C_202509,,D2C Solutions,BC_AM,Advertising and marketing events,,169150.0,Local,,D2C,2025-09-01,BC,
広告宣伝費,41020.0,Advertising and Marketing Events,Bill,AnyMind Japan Inc,2025-09-30,UPSIDER_D2C_202509,VENDBILL409797,VEN0029438 株式会社UPSIDER,,80011 - Accounts Payable : Non-trade Creditors,UPSIDER_D2C_202509,,D2C Solutions,The Breath Co,Advertising and marketing events,,201448.0,Local,,D2C,2025-09-01,BC,
広告宣伝費,41020.0,Advertising and Marketing Events,Bill,AnyMind Japan Inc,2025-09-30,UPSIDER_D2C_202509,VENDBILL409797,VEN0029438 株式会社UPSIDER,,80011 - Accounts Payable : Non-trade Creditors,UPSIDER_D2C_202509,,D2C Solutions,waterpik,Advertising and marketing events,,2004881.0,Local,,D2C,2025-09-01,BC,
広告宣伝費,41020.0,Advertising and Marketing Events,Journal,AnyMind Japan Inc,2025-09-30,JEAJP0022861,JOURNAL234789,,,- Split -,Upsider_Yahoo_利用分_2025.09,Upsider_Yahoo分配_BC分_2025.09,Brand Commerce & Marketing,BC,Advertising and marketing events,,56158.0,Local,,D2C,2025-09-01,BC,
広告宣伝費,41020.0,Advertising and Marketing Events,Journal,AnyMind Japan Inc,2025-09-30,JEAJP0022985,JOURNAL236056,VEN0030589 藤田金属株式会社,,"80040 - Accounts Payable : Trade Accruals, Provisions and Other Manual Adjustments",広告費見積計上_BC_2509,広告費見積計上_BC_2509,Brand Commerce & Marketing,BC_AM,Advertising and marketing events,,1363586.0,Local,,D2C,2025-09-01,BC,
広告宣伝費,41020.0,Advertising and Marketing Events,Journal,AnyMind Japan Inc,2025-09-30,JEAJP0022929,JOURNAL235677,VEN0057448 株式会社ビーアンドピー,VEN0057448 株式会社ビーアンドピー,- Split -,,Amortization Destination,D2C Anylogi,forencos,Advertising and marketing events,,196429.0,Local,,D2C,2025-09-01,BC,
広告宣伝費,41030.0,Promotional Giveaway,Inventory Adjustment,AnyMind Japan Inc,2025-09-30,INVADAJP0001001,INVADJST1958,,,64010 - Inventory : Inventory : D2C CR,202508-GIFT／Waterpik・AVC・FRC・SUNA,202508-GIFT／Waterpik・AVC・FRC・SUNA,- No Department -,- No Class -,Advertising and marketing events,,916854.0,Local,,D2C,2025-09-01,BC,
交通費および宿泊費,41320.0,Travel - Hotel and Accommodation - Domestic,Bill,AnyMind Japan Inc,2025-09-30,UPSIDER_D2C_202509,VENDBILL409797,VEN0029438 株式会社UPSIDER,,80011 - Accounts Payable : Non-trade Creditors,UPSIDER_D2C_202509,,D2C Solutions,Advanced Clinicals,Transportation & Accommodation,,129908.0,Local,,D2C,2025-09-01,BC,
IT費用,41430.0,Online Utilities and Software License Fees,Journal,AnyMind Japan Inc,2025-09-01,JEAJP0022889,JOURNAL235160,,,62013 - Advance Payment : D2C EP,Upsider決済取り消し差額を処理するJE_2509,Upsider決済取り消し差額を処理するJE_2509,D2C Anylogi,AnyLogi,IT expenses,,1530.0,Regional,,D2C,2025-09-01,BC,
IT費用,41430.0,Online Utilities and Software License Fees,Bill,AnyMind Japan Inc,2025-09-30,UPSIDER_D2C_202509,VENDBILL409797,VEN0029438 株式会社UPSIDER,,80011 - Accounts Payable : Non-trade Creditors,UPSIDER_D2C_202509,,D2C Solutions,waterpik,IT expenses,,3800.0,Local,,D2C,2025-09-01,BC,
IT費用,41430.0,Online Utilities and Software License Fees,Bill,AnyMind Japan Inc,2025-09-30,UPSIDER_D2C_202509,VENDBILL409797,VEN0029438 株式会社UPSIDER,,80011 - Accounts Payable : Non-trade Creditors,UPSIDER_D2C_202509,,D2C Solutions,Advanced Clinicals,IT expenses,,3800.0,Local,,D2C,2025-09-01,BC,
IT費用,41430.0,Online Utilities and Software License Fees,Bill,AnyMind Japan Inc,2025-09-30,AnyLogi-202509-外販,VENDBILL410635,VEN0015047 株式会社ロジレス,,80010 - Accounts Payable : Trade Creditors,9月外販ブランド利用分,8月外販ブランド利用分,D2C Anylogi,AnyLogi,IT expenses,,1948072.0,Local,,D2C,2025-09-01,BC,
IT費用,41430.0,Online Utilities and Software License Fees,Bill,AnyMind Japan Inc,2025-09-30,UPSIDER_D2C_202509,VENDBILL409797,VEN0029438 株式会社UPSIDER,,80011 - Accounts Payable : Non-trade Creditors,UPSIDER_D2C_202509,,D2C Solutions,forencos,IT expenses,,3268.0,Local,,D2C,2025-09-01,BC,
IT費用,41430.0,Online Utilities and Software License Fees,Bill,AnyMind Japan Inc,2025-09-30,UPSIDER_D2C_202509,VENDBILL409797,VEN0029438 株式会社UPSIDER,,80011 - Accounts Payable : Non-trade Creditors,UPSIDER_D2C_202509,,D2C Solutions,AnyLogi,IT expenses,,4260.0,Local,,D2C,2025-09-01,BC,
